Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,response,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR5088879,RNA-Seq,101,5430056386,PRJNA356761,SAMN06125074,3683849669,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405874,GSM2420325,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T19:29:00Z,1,GSM2420325,tumor,SRP094781,melanoma
SRR5088880,RNA-Seq,101,6184217421,PRJNA356761,SAMN06125073,4348695658,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405875,GSM2420326,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T18:43:00Z,1,GSM2420326,tumor,SRP094781,melanoma
SRR5088882,RNA-Seq,101,5138195996,PRJNA356761,SAMN06125071,3614816393,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405877,GSM2420328,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T17:36:00Z,1,GSM2420328,tumor,SRP094781,melanoma
SRR5088883,RNA-Seq,101,5936284927,PRJNA356761,SAMN06125070,4539267167,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405878,GSM2420329,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T18:24:00Z,1,GSM2420329,tumor,SRP094781,melanoma
SRR5088885,RNA-Seq,101,5027661916,PRJNA356761,SAMN06125068,3330153247,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405880,GSM2420331,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T18:04:00Z,1,GSM2420331,tumor,SRP094781,melanoma
SRR5088886,RNA-Seq,101,5462833241,PRJNA356761,SAMN06125067,2449965247,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405881,GSM2420332,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2016-12-08T16:06:00Z,1,GSM2420332,tumor,SRP094781,melanoma
SRR5088887,RNA-Seq,101,8979688792,PRJNA356761,SAMN06125066,6769867865,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405882,GSM2420333,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T20:18:00Z,1,GSM2420333,tumor,SRP094781,melanoma
SRR5088888,RNA-Seq,101,5435261472,PRJNA356761,SAMN06125065,3628379604,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405883,GSM2420334,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T17:56:00Z,1,GSM2420334,tumor,SRP094781,melanoma
SRR5088889,RNA-Seq,101,5604172712,PRJNA356761,SAMN06125064,3783802016,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405884,GSM2420335,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T17:55:00Z,1,GSM2420335,tumor,SRP094781,melanoma
SRR5088890,RNA-Seq,101,5598887981,PRJNA356761,SAMN06125063,3750807109,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405885,GSM2420336,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T17:58:00Z,1,GSM2420336,tumor,SRP094781,melanoma
SRR5088891,RNA-Seq,101,5282128268,PRJNA356761,SAMN06125062,3572005174,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405886,GSM2420337,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2017-08-01T18:10:00Z,1,GSM2420337,tumor,SRP094781,melanoma
SRR5088892,RNA-Seq,101,5111429023,PRJNA356761,SAMN06125061,3563997460,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405887,GSM2420338,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2017-08-01T17:49:00Z,1,GSM2420338,tumor,SRP094781,melanoma
SRR5088893,RNA-Seq,101,5352982101,PRJNA356761,SAMN06125060,3553807465,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405888,GSM2420339,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T18:00:00Z,1,GSM2420339,tumor,SRP094781,melanoma
SRR5088894,RNA-Seq,101,6958101622,PRJNA356761,SAMN06125059,4732937049,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405889,GSM2420340,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2016-12-08T16:10:00Z,1,GSM2420340,tumor,SRP094781,melanoma
SRR5088895,RNA-Seq,101,5687945797,PRJNA356761,SAMN06125058,2568754531,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405890,GSM2420341,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2016-12-08T16:14:00Z,1,GSM2420341,tumor,SRP094781,melanoma
SRR5088896,RNA-Seq,101,6432988088,PRJNA356761,SAMN06125057,5278980052,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405891,GSM2420342,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2017-08-01T19:04:00Z,1,GSM2420342,tumor,SRP094781,melanoma
SRR5088897,RNA-Seq,101,5323581740,PRJNA356761,SAMN06125056,3887632787,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405892,GSM2420343,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2017-08-01T18:06:00Z,1,GSM2420343,tumor,SRP094781,melanoma
SRR5088898,RNA-Seq,101,5129532605,PRJNA356761,SAMN06125055,3736426625,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405893,GSM2420344,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T18:03:00Z,1,GSM2420344,tumor,SRP094781,melanoma
SRR5088899,RNA-Seq,101,5710681174,PRJNA356761,SAMN06125054,2592152187,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405894,GSM2420345,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2016-12-08T16:21:00Z,1,GSM2420345,tumor,SRP094781,melanoma
SRR5088900,RNA-Seq,101,5949693584,PRJNA356761,SAMN06125053,4366750599,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405895,GSM2420346,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T18:26:00Z,1,GSM2420346,tumor,SRP094781,melanoma
SRR5088903,RNA-Seq,101,5748375189,PRJNA356761,SAMN06125000,4594080291,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405898,GSM2420349,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T17:19:00Z,1,GSM2420349,tumor,SRP094781,melanoma
SRR5088904,RNA-Seq,101,5674166982,PRJNA356761,SAMN06124999,4670081686,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405899,GSM2420350,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T17:56:00Z,1,GSM2420350,tumor,SRP094781,melanoma
SRR5088905,RNA-Seq,101,5488766904,PRJNA356761,SAMN06124998,4059115120,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405900,GSM2420351,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T18:12:00Z,1,GSM2420351,tumor,SRP094781,melanoma
SRR5088906,RNA-Seq,101,5191479746,PRJNA356761,SAMN06124997,3479707196,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405901,GSM2420352,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T17:56:00Z,1,GSM2420352,tumor,SRP094781,melanoma
SRR5088907,RNA-Seq,101,5355569581,PRJNA356761,SAMN06124996,3539458457,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405902,GSM2420353,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T18:01:00Z,1,GSM2420353,tumor,SRP094781,melanoma
SRR5088908,RNA-Seq,101,5237620873,PRJNA356761,SAMN06124993,3481052346,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405903,GSM2420354,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T18:16:00Z,1,GSM2420354,tumor,SRP094781,melanoma
SRR5088909,RNA-Seq,101,5147734283,PRJNA356761,SAMN06124992,2457862286,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405904,GSM2420355,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2016-12-08T16:02:00Z,1,GSM2420355,tumor,SRP094781,melanoma
SRR5088910,RNA-Seq,101,5121540684,PRJNA356761,SAMN06124995,3421615662,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405905,GSM2420356,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2017-08-01T17:10:00Z,1,GSM2420356,tumor,SRP094781,melanoma
SRR5088911,RNA-Seq,101,5155773049,PRJNA356761,SAMN06124994,3739500414,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405906,GSM2420357,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2017-08-01T17:53:00Z,1,GSM2420357,tumor,SRP094781,melanoma
SRR5088912,RNA-Seq,101,5374542262,PRJNA356761,SAMN06124991,3543681835,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405907,GSM2420358,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T18:04:00Z,1,GSM2420358,tumor,SRP094781,melanoma
SRR5088913,RNA-Seq,101,5113161054,PRJNA356761,SAMN06124990,2438950591,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405908,GSM2420359,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2016-12-08T16:12:00Z,1,GSM2420359,tumor,SRP094781,melanoma
SRR5088914,RNA-Seq,101,5335832487,PRJNA356761,SAMN06124989,3603080554,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405909,GSM2420360,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T17:45:00Z,1,GSM2420360,tumor,SRP094781,melanoma
SRR5088915,RNA-Seq,101,5349551651,PRJNA356761,SAMN06124988,3579553035,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405910,GSM2420361,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T18:19:00Z,1,GSM2420361,tumor,SRP094781,melanoma
SRR5088916,RNA-Seq,101,5542144784,PRJNA356761,SAMN06124987,3670700399,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405911,GSM2420362,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T17:59:00Z,1,GSM2420362,tumor,SRP094781,melanoma
SRR5088917,RNA-Seq,101,5329085386,PRJNA356761,SAMN06124986,3528897662,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405912,GSM2420363,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T17:16:00Z,1,GSM2420363,tumor,SRP094781,melanoma
SRR5088918,RNA-Seq,101,5219312339,PRJNA356761,SAMN06124985,3486504236,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405913,GSM2420364,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T19:07:00Z,1,GSM2420364,tumor,SRP094781,melanoma
SRR5088919,RNA-Seq,101,5539558367,PRJNA356761,SAMN06124984,2616010993,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405914,GSM2420365,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,UNK,2016-12-08T16:25:00Z,1,GSM2420365,tumor,SRP094781,melanoma
SRR5088920,RNA-Seq,101,5644159337,PRJNA356761,SAMN06124983,2629349752,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405915,GSM2420366,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2016-12-08T15:59:00Z,1,GSM2420366,tumor,SRP094781,melanoma
SRR5088921,RNA-Seq,101,5418438166,PRJNA356761,SAMN06124982,3591328062,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405916,GSM2420367,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T18:00:00Z,1,GSM2420367,tumor,SRP094781,melanoma
SRR5088922,RNA-Seq,101,5242129142,PRJNA356761,SAMN06125090,3481063835,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405917,GSM2420368,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T18:18:00Z,1,GSM2420368,tumor,SRP094781,melanoma
SRR5088923,RNA-Seq,101,5309000828,PRJNA356761,SAMN06125089,2516375714,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405918,GSM2420369,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2016-12-08T16:17:00Z,1,GSM2420369,tumor,SRP094781,melanoma
SRR5088924,RNA-Seq,101,5324222949,PRJNA356761,SAMN06125088,3526953856,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405919,GSM2420370,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2017-08-01T18:53:00Z,1,GSM2420370,tumor,SRP094781,melanoma
SRR5088925,RNA-Seq,101,5136260093,PRJNA356761,SAMN06125087,2469712898,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405920,GSM2420371,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2016-12-08T16:14:00Z,1,GSM2420371,tumor,SRP094781,melanoma
SRR5088926,RNA-Seq,101,6220438985,PRJNA356761,SAMN06125086,3066377512,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405921,GSM2420372,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2016-12-08T16:24:00Z,1,GSM2420372,tumor,SRP094781,melanoma
SRR5088927,RNA-Seq,101,4991396262,PRJNA356761,SAMN06125085,2464063522,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405922,GSM2420373,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2016-12-08T16:24:00Z,1,GSM2420373,tumor,SRP094781,melanoma
SRR5088928,RNA-Seq,101,5094172352,PRJNA356761,SAMN06125084,2477804677,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405923,GSM2420374,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2016-12-08T15:59:00Z,1,GSM2420374,tumor,SRP094781,melanoma
SRR5088929,RNA-Seq,101,5035959459,PRJNA356761,SAMN06125083,2394075266,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405924,GSM2420375,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2016-12-08T16:02:00Z,1,GSM2420375,tumor,SRP094781,melanoma
SRR5088930,RNA-Seq,101,5581752570,PRJNA356761,SAMN06125082,3794339948,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405925,GSM2420376,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2017-08-01T18:22:00Z,1,GSM2420376,tumor,SRP094781,melanoma
